,dataset,component,type,description,pvalue,qvalue,precision,recall,f1score,TP
0,MA-1,0,functional,tricarboxylic acid cycle,1.0242875272467496e-10,3.4108774657316763e-07,0.5,0.3333333333333333,0.4,5
1,MA-1,0,functional,aerobic respiration,2.308688430095915e-07,0.00038439662361096984,0.4,0.16666666666666666,0.23529411764705882,4
2,MA-1,0,functional,electron transfer activity,3.4496664109854526e-06,0.003829129716193852,0.4,0.08695652173913043,0.14285714285714285,4
3,MA-1,0,functional,oxoglutarate dehydrogenase complex,5.979859832058073e-06,0.003982586648150676,0.2,1.0,0.33333333333333337,2
4,MA-1,0,functional,succinate-CoA ligase complex (ADP-forming),5.979859832058073e-06,0.003982586648150676,0.2,1.0,0.33333333333333337,2
5,MA-1,1,functional,anaerobic respiration,6.383490962174983e-10,2.1257024904042695e-06,0.19230769230769232,0.19607843137254902,0.19417475728155342,10
6,MA-1,1,functional,plasma membrane fumarate reductase complex,2.8713391543920433e-08,4.780779692062752e-05,0.07692307692307693,1.0,0.14285714285714288,4
7,MA-1,1,functional,succinate dehydrogenase activity,1.4214462253513184e-07,0.00015778053101399633,0.07692307692307693,0.8,0.14035087719298248,4
8,MA-1,1,functional,nickel cation binding,6.496955162221435e-07,0.0005408715172549345,0.09615384615384616,0.35714285714285715,0.15151515151515152,5
9,MA-1,1,functional,protein maturation,1.3890271957434984e-06,0.00092509211236517,0.09615384615384616,0.3125,0.14705882352941177,5
10,MA-1,1,functional,fermentation,1.931486073186817e-06,0.0010719747706186835,0.07692307692307693,0.5,0.13333333333333336,4
11,MA-1,1,functional,nickel-transporting ATPase activity,9.001355255174844e-06,0.004282073285676032,0.057692307692307696,0.75,0.10714285714285714,3
12,MA-1,6,functional,structural constituent of ribosome,1.3154546393684813e-39,4.380463949097043e-36,0.7857142857142857,0.4583333333333333,0.5789473684210527,22
13,MA-1,6,functional,cytosolic large ribosomal subunit,1.708167944337658e-21,2.844099627322201e-18,0.4642857142857143,0.40625,0.4333333333333333,13
14,MA-1,6,functional,cytosolic small ribosomal subunit,1.220659312301232e-18,1.3549318366543675e-15,0.39285714285714285,0.44,0.4150943396226415,11
