sample_id,project_id,condition_id,rep,machine,PMID,GEO,CEL_file,baseline,gene_change,change_type,creator,creator-email,run-date,strain-description,growth-stage,temperature,isolate-type,base-media,carbon-source,nitrogen-source,Unnamed: 18,electron-acceptor,supplement,environment
dinI___U_N0025_r1,dinI,U_N0025,1,GPL199 (Faith),,GSE6836,,,b1061,overexpression,Timothy S Gardner,tgardner@bu.edu,01/22/2007,Escherichia coli str. K-12 substr. MG1655,,,,,,,,,,
dinI___U_N0025_r2,dinI,U_N0025,2,GPL199 (Faith),,GSE6836,,,b1061,overexpression,Timothy S Gardner,tgardner@bu.edu,01/22/2007,Escherichia coli str. K-12 substr. MG1655,,,,,,,,,,
dinI___U_N0025_r3,dinI,U_N0025,3,GPL199 (Faith),,GSE6836,,,b1061,overexpression,Timothy S Gardner,tgardner@bu.edu,01/22/2007,Escherichia coli str. K-12 substr. MG1655,,,,,,,,,,
dinP___U_N0025_r1,dinP,U_N0025,1,GPL199 (Faith),,GSE6836,,,b0231,overexpression,Timothy S Gardner,tgardner@bu.edu,01/22/2007,Escherichia coli str. K-12 substr. MG1655,,,,,,,,,,
dinP___U_N0025_r2,dinP,U_N0025,2,GPL199 (Faith),,GSE6836,,,b0231,overexpression,Timothy S Gardner,tgardner@bu.edu,01/22/2007,Escherichia coli str. K-12 substr. MG1655,,,,,,,,,,
dinP___U_N0025_r3,dinP,U_N0025,3,GPL199 (Faith),,GSE6836,,,b0231,overexpression,Timothy S Gardner,tgardner@bu.edu,01/22/2007,Escherichia coli str. K-12 substr. MG1655,,,,,,,,,,
lexA___U_N0025_r1,lexA,U_N0025,1,GPL199 (Faith),,GSE6836,,,b4043,overexpression,Timothy S Gardner,tgardner@bu.edu,01/22/2007,Escherichia coli str. K-12 substr. MG1655,,,,,,,,,,
lexA___U_N0025_r2,lexA,U_N0025,2,GPL199 (Faith),,GSE6836,,,b4043,overexpression,Timothy S Gardner,tgardner@bu.edu,01/22/2007,Escherichia coli str. K-12 substr. MG1655,,,,,,,,,,
lexA___U_N0025_r3,lexA,U_N0025,3,GPL199 (Faith),,GSE6836,,,b4043,overexpression,Timothy S Gardner,tgardner@bu.edu,01/22/2007,Escherichia coli str. K-12 substr. MG1655,,,,,,,,,,
lon___U_N0025_r1,lon,U_N0025,1,GPL199 (Faith),,GSE6836,,,b0439,overexpression,Timothy S Gardner,tgardner@bu.edu,01/22/2007,Escherichia coli str. K-12 substr. MG1655,,,,,,,,,,
lon___U_N0025_r2,lon,U_N0025,2,GPL199 (Faith),,GSE6836,,,b0439,overexpression,Timothy S Gardner,tgardner@bu.edu,01/22/2007,Escherichia coli str. K-12 substr. MG1655,,,,,,,,,,
lon___U_N0025_r3,lon,U_N0025,3,GPL199 (Faith),,GSE6836,,,b0439,overexpression,Timothy S Gardner,tgardner@bu.edu,01/22/2007,Escherichia coli str. K-12 substr. MG1655,,,,,,,,,,
luc___U_N0025_r1,luc,U_N0025,1,GPL199 (Faith),,GSE6836,,,,,Timothy S Gardner,tgardner@bu.edu,01/22/2007,Escherichia coli str. K-12 substr. MG1655,,,,,,,,,,
luc___U_N0025_r2,luc,U_N0025,2,GPL199 (Faith),,GSE6836,,,,,Timothy S Gardner,tgardner@bu.edu,01/22/2007,Escherichia coli str. K-12 substr. MG1655,,,,,,,,,,
