sample_id,project_id,condition_id,rep,machine,PMID,GEO,CEL_file,creator,creator-email,run-date,baseline,gene_change,change_type,strain-description,growth-stage,temperature,base-media,carbon-source,nitrogen-source,electron-acceptor,supplement,environment
arcA_fnr__ferment_delarcA__1,arcA_fnr,ferment_delarcA,1,GPL199 (Affymetrix),24699140,GSE55365,,Bernhard Palsson,palsson@ucsd.edu,02/26/14,,b4401,KO,Escherichia coli str. K-12 substr. MG1655 del_arcA,mid-log,37 °C,M9 minimal medium,0.2% glucose,0.1% NH4Cl,,,anaerobic
arcA_fnr__ferment_delarcA__2,arcA_fnr,ferment_delarcA,2,GPL199 (Affymetrix),24699140,GSE55365,,Bernhard Palsson,palsson@ucsd.edu,02/26/14,,b4401,KO,Escherichia coli str. K-12 substr. MG1655 del_arcA,mid-log,37 °C,M9 minimal medium,0.2% glucose,0.1% NH4Cl,,,anaerobic
arcA_fnr__ferment_delarcA__3,arcA_fnr,ferment_delarcA,3,GPL199 (Affymetrix),24699140,GSE55365,,Bernhard Palsson,palsson@ucsd.edu,02/26/14,,b4401,KO,Escherichia coli str. K-12 substr. MG1655 del_arcA,mid-log,37 °C,M9 minimal medium,0.2% glucose,0.1% NH4Cl,,,anaerobic
arcA_fnr__ferment_delfnr__1,arcA_fnr,ferment_delfnr,1,GPL199 (Affymetrix),24699140,GSE55365,,Bernhard Palsson,palsson@ucsd.edu,02/26/14,,b1334,KO,Escherichia coli str. K-12 substr. MG1655 del_fnr,mid-log,37 °C,M9 minimal medium,0.2% glucose,0.1% NH4Cl,,,anaerobic
arcA_fnr__ferment_delfnr__2,arcA_fnr,ferment_delfnr,2,GPL199 (Affymetrix),24699140,GSE55365,,Bernhard Palsson,palsson@ucsd.edu,02/26/14,,b1334,KO,Escherichia coli str. K-12 substr. MG1655 del_fnr,mid-log,37 °C,M9 minimal medium,0.2% glucose,0.1% NH4Cl,,,anaerobic
arcA_fnr__ferment_delfnr__3,arcA_fnr,ferment_delfnr,3,GPL199 (Affymetrix),24699140,GSE55365,,Bernhard Palsson,palsson@ucsd.edu,02/26/14,,b1334,KO,Escherichia coli str. K-12 substr. MG1655 del_fnr,mid-log,37 °C,M9 minimal medium,0.2% glucose,0.1% NH4Cl,,,anaerobic
arcA_fnr__ferment_wt__1,arcA_fnr,ferment_wt,1,GPL199 (Affymetrix),24699140,GSE55365,,Bernhard Palsson,palsson@ucsd.edu,02/26/14,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,37 °C,M9 minimal medium,0.2% glucose,0.1% NH4Cl,,,anaerobic
arcA_fnr__ferment_wt__2,arcA_fnr,ferment_wt,2,GPL199 (Affymetrix),24699140,GSE55365,,Bernhard Palsson,palsson@ucsd.edu,02/26/14,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,37 °C,M9 minimal medium,0.2% glucose,0.1% NH4Cl,,,anaerobic
arcA_fnr__ferment_wt__3,arcA_fnr,ferment_wt,3,GPL199 (Affymetrix),24699140,GSE55365,,Bernhard Palsson,palsson@ucsd.edu,02/26/14,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,37 °C,M9 minimal medium,0.2% glucose,0.1% NH4Cl,,,anaerobic
aero__del_appY__1,aero,del_appY,1,GPL199 (Affymetrix),15129285,GSE1106,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b0564,KO,Escherichia coli str. K-12 substr. MG1655 del_appY,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,O2,,aerobic
aero__del_appY__2,aero,del_appY,2,GPL199 (Affymetrix),15129285,GSE1106,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b0564,KO,Escherichia coli str. K-12 substr. MG1655 del_appY,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,O2,,aerobic
aero__del_appY__3,aero,del_appY,3,GPL199 (Affymetrix),15129285,GSE1106,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b0564,KO,Escherichia coli str. K-12 substr. MG1655 del_appY,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,O2,,aerobic
aero__del_arcA__1,aero,del_arcA,1,GPL199 (Affymetrix),15129285,GSE1106,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b4401,KO,Escherichia coli str. K-12 substr. MG1655 del_arcA,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,O2,,aerobic
aero__del_arcA__2,aero,del_arcA,2,GPL199 (Affymetrix),15129285,GSE1106,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b4401,KO,Escherichia coli str. K-12 substr. MG1655 del_arcA,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,O2,,aerobic
aero__del_arcA__3,aero,del_arcA,3,GPL199 (Affymetrix),15129285,GSE1106,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b4401,KO,Escherichia coli str. K-12 substr. MG1655 del_arcA,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,O2,,aerobic
aero__del_arcAfnr__1,aero,del_arcAfnr,1,GPL199 (Affymetrix),15129285,GSE1106,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b4401|b1334,KO,Escherichia coli str. K-12 substr. MG1655 del_arcAfnr,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,O2,,aerobic
aero__del_arcAfnr__2,aero,del_arcAfnr,2,GPL199 (Affymetrix),15129285,GSE1106,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b4401|b1334,KO,Escherichia coli str. K-12 substr. MG1655 del_arcAfnr,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,O2,,aerobic
aero__del_arcAfnr__3,aero,del_arcAfnr,3,GPL199 (Affymetrix),15129285,GSE1106,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b4401|b1334,KO,Escherichia coli str. K-12 substr. MG1655 del_arcAfnr,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,O2,,aerobic
aero__del_fnr__1,aero,del_fnr,1,GPL199 (Affymetrix),15129285,GSE1106,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b1334,KO,Escherichia coli str. K-12 substr. MG1655 del_fnr,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,O2,,aerobic
aero__del_fnr__2,aero,del_fnr,2,GPL199 (Affymetrix),15129285,GSE1106,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b1334,KO,Escherichia coli str. K-12 substr. MG1655 del_fnr,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,O2,,aerobic
aero__del_fnr__3,aero,del_fnr,3,GPL199 (Affymetrix),15129285,GSE1106,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b1334,KO,Escherichia coli str. K-12 substr. MG1655 del_fnr,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,O2,,aerobic
aero__del_oxyR__1,aero,del_oxyR,1,GPL199 (Affymetrix),15129285,GSE1106,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b3961,KO,Escherichia coli str. K-12 substr. MG1655 del_oxyR,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,O2,,aerobic
aero__del_oxyR__2,aero,del_oxyR,2,GPL199 (Affymetrix),15129285,GSE1106,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b3961,KO,Escherichia coli str. K-12 substr. MG1655 del_oxyR,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,O2,,aerobic
aero__del_oxyR__3,aero,del_oxyR,3,GPL199 (Affymetrix),15129285,GSE1106,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b3961,KO,Escherichia coli str. K-12 substr. MG1655 del_oxyR,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,O2,,aerobic
aero__del_soxS__1,aero,del_soxS,1,GPL199 (Affymetrix),15129285,GSE1106,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b4062,KO,Escherichia coli str. K-12 substr. MG1655 del_soxS,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,O2,,aerobic
aero__del_soxS__2,aero,del_soxS,2,GPL199 (Affymetrix),15129285,GSE1106,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b4062,KO,Escherichia coli str. K-12 substr. MG1655 del_soxS,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,O2,,aerobic
aero__del_soxS__3,aero,del_soxS,3,GPL199 (Affymetrix),15129285,GSE1106,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b4062,KO,Escherichia coli str. K-12 substr. MG1655 del_soxS,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,O2,,aerobic
aero__wt__1,aero,wt,1,GPL199 (Affymetrix),15129285,GSE1106,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,TRUE,,,Escherichia coli str. K-12 substr. MG1655,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,O2,,aerobic
aero__wt__2,aero,wt,2,GPL199 (Affymetrix),15129285,GSE1106,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,TRUE,,,Escherichia coli str. K-12 substr. MG1655,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,O2,,aerobic
aero__wt__3,aero,wt,3,GPL199 (Affymetrix),15129285,GSE1106,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,TRUE,,,Escherichia coli str. K-12 substr. MG1655,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,O2,,aerobic
anaero__del_appY__1,anaero,del_appY,1,GPL199 (Affymetrix),15129285,GSE1107,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b0564,KO,Escherichia coli str. K-12 substr. MG1655 del_appY,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,NO3,,anaerobic
anaero__del_appY__2,anaero,del_appY,2,GPL199 (Affymetrix),15129285,GSE1107,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b0564,KO,Escherichia coli str. K-12 substr. MG1655 del_appY,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,NO3,,anaerobic
anaero__del_appY__3,anaero,del_appY,3,GPL199 (Affymetrix),15129285,GSE1107,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b0564,KO,Escherichia coli str. K-12 substr. MG1655 del_appY,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,NO3,,anaerobic
anaero__del_arcA__1,anaero,del_arcA,1,GPL199 (Affymetrix),15129285,GSE1107,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b4401,KO,Escherichia coli str. K-12 substr. MG1655 del_arcA,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,NO3,,anaerobic
anaero__del_arcA__2,anaero,del_arcA,2,GPL199 (Affymetrix),15129285,GSE1107,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b4401,KO,Escherichia coli str. K-12 substr. MG1655 del_arcA,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,NO3,,anaerobic
anaero__del_arcA__3,anaero,del_arcA,3,GPL199 (Affymetrix),15129285,GSE1107,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b4401,KO,Escherichia coli str. K-12 substr. MG1655 del_arcA,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,NO3,,anaerobic
anaero__del_arcAfnr__1,anaero,del_arcAfnr,1,GPL199 (Affymetrix),15129285,GSE1107,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b4401|b1334,KO,Escherichia coli str. K-12 substr. MG1655 del_arcAfnr,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,NO3,,anaerobic
anaero__del_arcAfnr__2,anaero,del_arcAfnr,2,GPL199 (Affymetrix),15129285,GSE1107,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b4401|b1334,KO,Escherichia coli str. K-12 substr. MG1655 del_arcAfnr,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,NO3,,anaerobic
anaero__del_arcAfnr__3,anaero,del_arcAfnr,3,GPL199 (Affymetrix),15129285,GSE1107,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b4401|b1334,KO,Escherichia coli str. K-12 substr. MG1655 del_arcAfnr,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,NO3,,anaerobic
anaero__del_fnr__1,anaero,del_fnr,1,GPL199 (Affymetrix),15129285,GSE1107,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b1334,KO,Escherichia coli str. K-12 substr. MG1655 del_fnr,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,NO3,,anaerobic
anaero__del_fnr__2,anaero,del_fnr,2,GPL199 (Affymetrix),15129285,GSE1107,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b1334,KO,Escherichia coli str. K-12 substr. MG1655 del_fnr,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,NO3,,anaerobic
anaero__del_fnr__3,anaero,del_fnr,3,GPL199 (Affymetrix),15129285,GSE1107,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b1334,KO,Escherichia coli str. K-12 substr. MG1655 del_fnr,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,NO3,,anaerobic
