,dataset,component,type,description,pvalue,qvalue,precision,recall,f1score,TP
0,colombos,1,biological,response to heat,6.38051469984363e-17,2.124711395047929e-13,0.2236842105263158,0.3269230769230769,0.265625,17
7,colombos,2,biological,formate dehydrogenase (quinone) activity,1.2946188795391035e-08,2.1555404344326074e-05,0.6,0.6,0.6,3
11,colombos,3,biological,nickel-transporting ATPase activity,7.220405793607497e-13,2.4043951292712966e-09,0.8,1.0,0.888888888888889,4
15,colombos,5,biological,anaerobic electron transport chain,9.066327529265919e-07,0.0030190870672455513,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
16,colombos,6,biological,methionine biosynthetic process,7.45072081879261e-12,2.481090032657939e-08,0.29411764705882354,0.8333333333333334,0.4347826086956522,5
19,colombos,7,biological,glycerol-3-phosphate catabolic process,6.972171491641171e-06,0.0077391103557217,0.3333333333333333,0.6666666666666666,0.4444444444444444,2
22,colombos,10,biological,glucose import across plasma membrane,1.0108568111050463e-11,3.366153180979804e-08,0.5,1.0,0.6666666666666666,4
28,colombos,11,biological,hyperosmotic response,7.255930190115878e-09,2.4162247533085876e-05,1.0,0.375,0.5454545454545454,3
31,colombos,12,biological,sulfate transport,1.4791853276104498e-07,0.0004925687140942798,0.23076923076923078,0.75,0.3529411764705882,3
34,colombos,13,biological,bacterial-type flagellum-dependent swarming motility,1.8247406362286035e-11,5.983987264261936e-08,0.3333333333333333,0.42857142857142855,0.375,6
36,colombos,14,biological,cellular response to zinc ion starvation,4.341464897097447e-06,0.0072285390536672494,0.25,1.0,0.4,2
38,colombos,15,biological,histidine biosynthetic process,1.4662824183207388e-24,4.882720453008061e-21,1.0,1.0,1.0,8
41,colombos,23,biological,Rac prophage,1.1685295910345957e-11,3.891203538145204e-08,0.35,0.30434782608695654,0.3255813953488372,7
42,colombos,31,biological,defense response to virus,6.2094157807725045e-06,0.008577709441414023,0.03875968992248062,0.5555555555555556,0.07246376811594203,5
45,colombos,32,biological,response to copper ion,8.008153239235162e-07,0.0026667150286653093,0.13333333333333333,0.4,0.2,4
49,colombos,33,biological,structural constituent of ribosome,8.186964624521252e-24,2.726259219965577e-20,0.625,0.3125,0.4166666666666667,15
56,colombos,36,biological,[Ni-Fe] hydrogenase complex,5.410169500571393e-07,0.0014391598067880142,0.3,0.42857142857142855,0.3529411764705882,3
59,colombos,38,biological,[Ni-Fe] hydrogenase complex,1.76545123709484e-10,5.878952619525817e-07,0.5714285714285714,0.5714285714285714,0.5714285714285714,4
63,colombos,39,biological,anaerobic respiration,1.6586315198501577e-08,5.5232429611010255e-05,0.42857142857142855,0.11764705882352941,0.18461538461538463,6
68,colombos,40,biological,nitrogen utilization,1.7803916076977717e-10,5.928704053633579e-07,0.20833333333333334,0.7142857142857143,0.3225806451612903,5
71,colombos,41,biological,ferredoxin hydrogenase complex,1.684740930747898e-15,5.610187299390501e-12,0.4,1.0,0.5714285714285715,6
73,colombos,43,biological,"proton-transporting ATP synthase activity, rotational mechanism",4.196080964395584e-20,1.3972949611437297e-16,0.875,0.875,0.875,7
79,colombos,45,biological,biological adhesion,2.5914036393343513e-09,8.62937411898339e-06,0.5,1.0,0.6666666666666666,3
83,colombos,47,biological,dimethyl sulfoxide reductase activity,1.0883895285204318e-08,1.812168564986519e-05,0.3333333333333333,1.0,0.5,3
87,colombos,51,biological,rhamnose catabolic process,7.365044276865523e-07,0.0024525597441962194,0.23076923076923078,0.5,0.3157894736842105,3
88,colombos,52,biological,arginine biosynthetic process,1.826589048273811e-14,6.082541530751791e-11,0.2857142857142857,1.0,0.4444444444444445,6
91,colombos,53,biological,L-lactate dehydrogenase activity,1.035911619210661e-08,3.449585691971501e-05,0.5,0.75,0.6,3
92,colombos,54,biological,chemotaxis,2.8026468734788404e-16,9.332814088684538e-13,0.27586206896551724,0.8,0.4102564102564103,8
100,colombos,57,biological,extracellular polysaccharide biosynthetic process,2.6109376433245688e-06,0.004347211176135408,0.21428571428571427,0.375,0.2727272727272727,3
102,colombos,58,biological,galactarate catabolic process,4.534956368835107e-09,1.5101404708220907e-05,0.42857142857142855,1.0,0.6,3
104,colombos,59,biological,ATP hydrolysis coupled cation transmembrane transport,5.182807278668688e-10,5.752916079322244e-07,0.75,1.0,0.8571428571428571,3
108,colombos,60,biological,phenylacetate catabolic process,3.230526109878841e-26,1.075765194589654e-22,0.9090909090909091,0.7692307692307693,0.8333333333333333,10
109,colombos,61,biological,glycine decarboxylation via glycine cleavage system,2.0726896871132516e-09,6.902056658087128e-06,0.75,0.75,0.75,3
110,colombos,63,biological,cytochrome bo3 ubiquinol oxidase activity,7.220405793607497e-13,8.014650430904322e-10,0.8,1.0,0.888888888888889,4
120,colombos,65,biological,structural constituent of ribosome,5.358942611337097e-29,1.7845278895752533e-25,0.7391304347826086,0.3541666666666667,0.4788732394366197,17
129,colombos,67,biological,CP4-44 prophage,1.0856662864505668e-08,3.6152687338803877e-05,1.0,0.3333333333333333,0.5,3
