,condition_id,rep,project_id
test_GSE4321_rpoH_2.5min_0,GSE4321_rpoH_2.5min,0,ref_GSE4321_wt_2.5min
test_GSE17276_CV115_3,GSE17276_CV115,3,ref_GSE17276_ancestor_JA122
test_GSE6836_pyrC_0.075_1,GSE6836_pyrC_0.075,1,ref_GSE6836_luc_0.075
test_GSE47732_cat_induced_60_0,GSE47732_cat_induced_60,0,ref_GSE47732_cat_uninduced_0
test_GSE6836_gyrI_0.075_0,GSE6836_gyrI_0.075,0,ref_GSE6836_luc_0.075
test_GSE7243_wt_1,GSE7243_wt,1,ref_GSE7243_wt
test_GSE21839_E4_1,GSE21839_E4,1,ref_GSE21839_WT
test_GSE8965_SA_tp1_0,GSE8965_SA_tp1,0,test_GSE8965_A_tp1
test_GSE59408_MDS42_Ciprofloxacin_resistant_1,GSE59408_MDS42_Ciprofloxacin_resistant,1,ref_GSE59408_MDS42_Parent_strain
test_GSE5098_aeroob_NOC5/7_0,GSE5098_aeroob_NOC5/7,0,ref_GSE5098_aeroob
test_GSE1121_anaerobic_arcA_1,GSE1121_anaerobic_arcA,1,ref_GSE1121_aerobic_wt
test_GSE58977_stat_synh_t8_1,GSE58977_stat_synh_t8,1,ref_GSE58977_exp_synh_t3
test_GSE8540_met_suppl_GSNO500_5min_0,GSE8540_met_suppl_GSNO500_5min,0,ref_GSE8540_met_suppl
test_GSE30639_Anc_0,GSE30639_Anc,0,ref_GSE30639_Anc
test_GSE33147_glycE_day20_1,GSE33147_glycE_day20,1,ref_GSE33147_wt_glyc
test_GSE4321_rpoH_5min_0,GSE4321_rpoH_5min,0,ref_GSE4321_wt_5min
test_GSE533_ancestor_0,GSE533_ancestor,0,ref_GSE533_ancestor
test_GSE2037_acetate_1,GSE2037_acetate,1,ref_GSE2037_glu
test_GSE33147_lacE_day20_0,GSE33147_lacE_day20,0,ref_GSE33147_wt_lac
test_GSE20606_W3110_luxS_mutant_0,GSE20606_W3110_luxS_mutant,0,ref_GSE20606_W3110_control
test_GSE58806_acsh_stat_3,GSE58806_acsh_stat,3,ref_GSE58806_acsh_exp
test_GSE58806_synh_exp_5,GSE58806_synh_exp,5,ref_GSE58806_synh_exp
test_GSE7265_RpoS_tp5_0,GSE7265_RpoS_tp5,0,ref_GSE7265_wt_tp1
test_GSE7326_R+M+_1h_1,GSE7326_R+M+_1h,1,ref_GSE7326_controlpHSG415_1h
test_GSE11052_exp_1,GSE11052_exp,1,ref_GSE11052_stat
test_GSE4778_t1_ph5.5_1,GSE4778_t1_ph5.5,1,ref_GSE4778_t0_ph7.6
test_GSE29424_EZgly_BTE_accDABC_exp_2,GSE29424_EZgly_BTE_accDABC_exp,2,ref_GSE29424_EZgly_BTE-H204A_exp
test_GSE47732_vp1_induced_20_2,GSE47732_vp1_induced_20,2,ref_GSE47732_vp1_uninduced_0
test_GSE6836_menC_0.075_0,GSE6836_menC_0.075,0,ref_GSE6836_luc_0.075
test_GSE17519_0.5%Sodium benzoate_0min_0,GSE17519_0.5%Sodium benzoate_0min,0,ref_GSE17519_0%Sodium benzoate_0min
test_GSE6033_T5_1,GSE6033_T5,1,ref_GSE6033_Tref
test_GSE13361_ph7_BW_0,GSE13361_ph7_BW,0,ref_GSE13361_ph7_BW
test_GSE20374_nox_1,GSE20374_nox,1,ref_GSE20374_wt
test_GSE6444_hfq_4,GSE6444_hfq,4,ref_GSE6444_wt
test_GSE10158_mecillinam0.03_0min_1,GSE10158_mecillinam0.03_0min,1,ref_GSE10158_untreated_0min
test_E-MEXP-1166_MG1655_evoStat_4,E-MEXP-1166_MG1655_evoStat,4,ref_E-MEXP-1166_MG1655
test_E-TABM-103_t6.7_1,E-TABM-103_t6.7,1,ref_E-TABM-103_t3.1
test_GSE3250_wt_acetateShift_15min_2,GSE3250_wt_acetateShift_15min,2,ref_GSE3250_wt
test_GSE4706_500hours_2,GSE4706_500hours,2,ref_GSE4706
test_GSE4394_pnp_rif_6min_1,GSE4394_pnp_rif_6min,1,ref_GSE4394_pnp
test_GSE59408_MDS42_Chloramphenicol_resistant_2,GSE59408_MDS42_Chloramphenicol_resistant,2,ref_GSE59408_MDS42_Parent_strain
test_GSE6712_benzalkonium_chloride_0,GSE6712_benzalkonium_chloride,0,ref_GSE6712_control
test_GSE10158_mecillinam0.03_45min_0,GSE10158_mecillinam0.03_45min,0,ref_GSE10158_untreated_0min
test_GSE10158_cefmec10_10min_1,GSE10158_cefmec10_10min,1,ref_GSE10158_untreated_0min
test_GSE62094_BW25113_patZ_mutant_1,GSE62094_BW25113_patZ_mutant,1,ref_GSE62094_BW25113_wild_type
test_GSE3591_aerobic_wt_0,GSE3591_aerobic_wt,0,ref_GSE3591_aerobic_wt
test_GSE3591_anaerobic_fnr_NO2_0,GSE3591_anaerobic_fnr_NO2,0,ref_GSE3591_aerobic_wt
test_GSE37026_MG1655_treated_with_30ng/ml_colicin_M_60min_1,GSE37026_MG1655_treated_with_30ng/ml_colicin_M_60min,1,ref_GSE37026_MG1655_control_30min
test_GSE30639_17KS_1,GSE30639_17KS,1,ref_GSE30639_Anc
test_GSE56133_MG1655_Wildtype_H2O2_1,GSE56133_MG1655_Wildtype_H2O2,1,ref_GSE56133_MG1655_Wildtype_untreated
test_GSE34275_glycerol_treat_0,GSE34275_glycerol_treat,0,ref_GSE34275_ctrl
test_GSE33147_glycA_day44_0,GSE33147_glycA_day44,0,ref_GSE33147_wt_glyc
test_GSE34023_t75_bglj_drcsb_1,GSE34023_t75_bglj_drcsb,1,ref_GSE34023_t75_ctrl
test_GSE7265_RpoS_tp12_2,GSE7265_RpoS_tp12,2,ref_GSE7265_wt_tp1
test_GSE33147_glycB_day44_2,GSE33147_glycB_day44,2,ref_GSE33147_wt_glyc
test_GSE8540_metJ_GSNO500_5min_0,GSE8540_metJ_GSNO500_5min,0,ref_GSE8540_metJ
test_GSE13444_phoB_Isobutanol_10min_1,GSE13444_phoB_Isobutanol_10min,1,ref_GSE13444_phoB_Isobutanol_0%
test_GSE30345_cysQ_gln_0,GSE30345_cysQ_gln,0,ref_GSE30345_wt_gln
test_GSE3591_anaerobic_fnr_NO3_0,GSE3591_anaerobic_fnr_NO3,0,ref_GSE3591_aerobic_wt
test_GSE47732_cat_induced_20_0,GSE47732_cat_induced_20,0,ref_GSE47732_cat_uninduced_0
test_E-MEXP-1001_biofilm_0,E-MEXP-1001_biofilm,0,ref_E-MEXP-1001_suspension_exp
test_GSE13444_WT_Isobutanol_10min_4,GSE13444_WT_Isobutanol_10min,4,ref_GSE13444_WT_Isobutanol_0%
test_GSE7398_fis_240_0,GSE7398_fis_240,0,ref_GSE7398_wt_90
test_GSE6836_folA_0.075_1,GSE6836_folA_0.075,1,ref_GSE6836_luc_0.075
test_GSE21652_rpod3_2,GSE21652_rpod3,2,ref_GSE21652_p2
test_GSE45228_VOC_720min_3,GSE45228_VOC_720min,3,ref_GSE45228_control_720min
test_GSE21820_phoB_0,GSE21820_phoB,0,ref_GSE21820_wt
test_GSE7573_wt_MOPS_DeaNO_5min_1,GSE7573_wt_MOPS_DeaNO_5min,1,ref_GSE7573_wt_MOPS
test_GSE9_UV_20_0,GSE9_UV_20,0,ref_GSE9_no_UV
test_GSE7885_rpoS_stat_1,GSE7885_rpoS_stat,1,ref_GSE7885_WT_biofilm
test_GSE30639_17KL_3,GSE30639_17KL,3,ref_GSE30639_Anc
test_GSE10158_cefmec10_10min_0,GSE10158_cefmec10_10min,0,ref_GSE10158_untreated_0min
test_GSE40313_hns_hha_0,GSE40313_hns_hha,0,ref_GSE40313
test_GSE6836_mcrC_0.075_2,GSE6836_mcrC_0.075,2,ref_GSE6836_luc_0.075
test_GSE7265_RpoS_tp13_2,GSE7265_RpoS_tp13,2,ref_GSE7265_wt_tp1
test_GSE7573_norR_MOPS_DeaNO_5min_3,GSE7573_norR_MOPS_DeaNO_5min,3,ref_GSE7573_norR_MOPS
test_GSE33147_glycE_day44_0,GSE33147_glycE_day44,0,ref_GSE33147_wt_glyc
test_GSE3250_wt_acetateShift_4h_4,GSE3250_wt_acetateShift_4h,4,ref_GSE3250_wt
test_GSE30838_ctrl_1,GSE30838_ctrl,1,ref_GSE30838_ctrl
test_GSE19879_zeroThym_90min_1,GSE19879_zeroThym_90min,1,ref_GSE19879_control
test_GSE1121_aerobic_arcAfnr_1,GSE1121_aerobic_arcAfnr,1,ref_GSE1121_aerobic_wt
test_GSE21869_PaeR7IR+M-_2,GSE21869_PaeR7IR+M-,2,ref_GSE21869_PaeR7IR-M-
test_GSE6836_recA_del_0.05_0,GSE6836_recA_del_0.05,0,ref_GSE6836_wt_0.050
test_GSE39607_OLA_MIC_0,GSE39607_OLA_MIC,0,ref_GSE39607_ctrl
test_GSE30345_gcvT_ala_1,GSE30345_gcvT_ala,1,ref_GSE30345_wt_ala
test_GSE12190_SUCROSE_1,GSE12190_SUCROSE,1,ref_GSE12190
test_GSE6712_benzalkonium_chloride+50ppm_5,GSE6712_benzalkonium_chloride+50ppm,5,ref_GSE6712_control
test_GSE4394_wt_rif_6min_2,GSE4394_wt_rif_6min,2,ref_GSE4394_wtN3433
test_GSE28320_Lbrevis_pSIGMA70_transformation_2,GSE28320_Lbrevis_pSIGMA70_transformation,2,ref_GSE28320_Lbrevis_empty_vector
test_GSE21869_PaeR7IR+M+_GEN500_2,GSE21869_PaeR7IR+M+_GEN500,2,ref_GSE21869_PaeR7IR-M-
test_GSE3250_wt_acetateShift_30min_1,GSE3250_wt_acetateShift_30min,1,ref_GSE3250_wt
test_E-MEXP-953_T10_MG1655_Exponiential_planktonic_F_lambda_ilvG_rfb_50_rph_1_0,E-MEXP-953_T10_MG1655_Exponiential_planktonic_F_lambda_ilvG_rfb_50_rph_1,0,ref_E-MEXP-953_T10_K12_Exponiential_planktonic_F+Lampda+
test_GSE6836_t36_nor_0,GSE6836_t36_nor,0,ref_GSE6836_t0
test_GSE19370_MG1655_300µM_hydrogen_peroxide_5_min_1,GSE19370_MG1655_300µM_hydrogen_peroxide_5_min,1,ref_GSE19370_MG1655_Absence_hydrogen_peroxide
test_GSE29424_EZglu_BTE_exp_0,GSE29424_EZglu_BTE_exp,0,ref_GSE29424_EZglu_BTE-H204A_exp
test_GSE45228_VOC_360min_0,GSE45228_VOC_360min,0,ref_GSE45228_control_360min
test_GSE30345_lrp_gln_0,GSE30345_lrp_gln,0,ref_GSE30345_wt_gln
test_GSE1121_aerobic_fnr_1,GSE1121_aerobic_fnr,1,ref_GSE1121_aerobic_wt
test_GSE19879_zeroThym_45min_0,GSE19879_zeroThym_45min,0,ref_GSE19879_control
test_GSE4112_dpiADouble_MidLogPhase_1,GSE4112_dpiADouble_MidLogPhase,1,ref_GSE4112_wt_MidLogPhase
test_GSE2037_ala_0,GSE2037_ala,0,ref_GSE2037_glu
test_GSE4941_IAA_2,GSE4941_IAA,2,ref_GSE4941_untreated
test_GSE35392_FadR_0,GSE35392_FadR,0,ref_GSE35392_control
test_GSE35371_sham_15h_1,GSE35371_sham_15h,1,ref_GSE35371_sham_15h
test_GSE4556_ph8.5_2,GSE4556_ph8.5,2,ref_GSE4556_ph7.0
test_GSE33_W3100_0min_growth_in_presence_of0.3µg/ml_MMC_2,GSE33_W3100_0min_growth_in_presence_of0.3µg/ml_MMC,2,ref_GSE33_W3100_0min_normal_growth
test_GSE12797_Statio WT_1,GSE12797_Statio WT,1,ref_GSE12797_Expon WT
test_GSE8540_nsrR_GSNO500_5min_0,GSE8540_nsrR_GSNO500_5min,0,ref_GSE8540_nsrR
test_GSE21869_PaeR7IR+M-_1,GSE21869_PaeR7IR+M-,1,ref_GSE21869_PaeR7IR-M-
test_GSE6836_era_0.075_1,GSE6836_era_0.075,1,ref_GSE6836_luc_0.075
test_GSE29424_EZglu_BTE_exp_1,GSE29424_EZglu_BTE_exp,1,ref_GSE29424_EZglu_BTE-H204A_exp
test_GSE49918_polyamine_40min_2,GSE49918_polyamine_40min,2,ref_GSE49918_ctrl
test_GSE4941_untreated_2,GSE4941_untreated,2,ref_GSE4941_untreated
