,dataset,component,type,description,pvalue,qvalue,precision,recall,f1score,TP
colombos_0,colombos,0,uncharacterized,,,,,,,
colombos_1,colombos,1,regulatory,rpoH,1.301605070435277e-75,3.436237385949131e-73,0.7631578947368421,0.4715447154471545,0.5829145728643216,58.0
colombos_2,colombos,2,biological,formate dehydrogenase (quinone) activity,1.2946188795391035e-08,2.1555404344326074e-05,0.6,0.6,0.6,3.0
colombos_3,colombos,3,regulatory,nikR,1.2074257179956783e-15,3.187603895508591e-13,1.0,0.8333333333333334,0.9090909090909091,5.0
colombos_4,colombos,4,uncharacterized,,,,,,,
colombos_5,colombos,5,regulatory,narP,7.489178706578404e-13,1.9771431785366984e-10,0.7777777777777778,0.16279069767441862,0.2692307692307693,7.0
colombos_6,colombos,6,regulatory,metJ,1.3143757870091497e-23,3.469952077704155e-21,0.5882352941176471,0.8333333333333334,0.6896551724137931,10.0
colombos_7,colombos,7,regulatory,glpR,6.75687145881418e-14,1.7838140651269436e-11,0.8333333333333334,0.625,0.7142857142857143,5.0
colombos_8,colombos,8,uncharacterized,,,,,,,
colombos_9,colombos,9,regulatory,evgA,1.3097283121098597e-20,3.4576827439700297e-18,0.6923076923076923,0.6,0.6428571428571429,9.0
colombos_10,colombos,10,regulatory,mlc,1.891460331155639e-19,4.9934552742508863e-17,0.875,0.7777777777777778,0.823529411764706,7.0
colombos_11,colombos,11,biological,hyperosmotic response,7.255930190115878e-09,2.4162247533085876e-05,1.0,0.375,0.5454545454545454,3.0
colombos_12,colombos,12,regulatory,cysB,9.497818154210268e-21,2.5074239927115108e-18,0.7692307692307693,0.4,0.5263157894736842,10.0
colombos_13,colombos,13,regulatory,flhD;flhC,5.448046281032424e-29,1.43828421819256e-26,0.9444444444444444,0.22972972972972974,0.3695652173913043,17.0
colombos_14,colombos,14,regulatory,zur,1.1269306701313508e-14,2.9750969691467658e-12,0.625,1.0,0.7692307692307693,5.0
colombos_15,colombos,15,regulatory,his-tRNA,0.0,0.0,1.0,1.0,1.0,8.0
colombos_16,colombos,16,uncharacterized,,,,,,,
colombos_17,colombos,17,uncharacterized,,,,,,,
colombos_18,colombos,18,uncharacterized,,,,,,,
colombos_19,colombos,19,uncharacterized,,,,,,,
colombos_20,colombos,20,uncharacterized,,,,,,,
colombos_21,colombos,21,uncharacterized,,,,,,,
colombos_22,colombos,22,uncharacterized,,,,,,,
colombos_23,colombos,23,biological,Rac prophage,1.1685295910345957e-11,3.891203538145204e-08,0.35,0.30434782608695654,0.3255813953488372,7.0
colombos_24,colombos,24,regulatory,narP,3.996422346468491e-09,6.496179339813454e-07,0.7142857142857143,0.11627906976744186,0.2,5.0
colombos_25,colombos,25,uncharacterized,,,,,,,
colombos_26,colombos,26,uncharacterized,,,,,,,
colombos_27,colombos,27,uncharacterized,,,,,,,
colombos_28,colombos,28,uncharacterized,,,,,,,
colombos_29,colombos,29,uncharacterized,,,,,,,
colombos_30,colombos,30,uncharacterized,,,,,,,
colombos_31,colombos,31,regulatory,leuO,5.590554871813949e-09,1.4759064861588824e-06,0.06201550387596899,0.5714285714285714,0.11188811188811189,8.0
