Feature.ID,width,start,end
b2219,1826,2320044,2321869
b1102,2189,1159363,1161551
b0001,65,191,255
b0002,2462,338,2799
b0003,932,2802,3733
b0004,1286,3735,5020
b0005,296,5235,5530
b0006,776,5684,6459
b0007,1430,6530,7959
b0008,953,8239,9191
b0009,587,9307,9893
b0010,566,9929,10494
b0011,713,10644,11356
b0013,404,11383,11786
b0014,1916,12164,14079
b0015,1130,14169,15298
b0016,1112,15446,16557
b4412,152,16752,16903
b0018,209,16752,16960
b4413,54,16953,17006
b0019,1166,17490,18655
b0020,905,18716,19620
b0021,503,19812,20314
b0022,275,20234,20508
b0023,263,20816,21078
b0024,218,21182,21399
b0025,941,21408,22348
b0026,2816,22392,25207
b0027,494,25208,25701
b0028,449,25827,26275
b0029,950,26278,27227
b0030,914,27294,28207
b0031,821,28375,29195
b0032,1148,29652,30799
b0033,3221,30818,34038
b0034,395,34301,34695
b0035,590,34782,35371
b0036,785,35378,36162
b0037,1553,36272,37824
b0038,1217,37899,39115
b0039,1142,39245,40386
b0040,1514,40418,41931
b0041,770,42404,43173
b0042,941,43189,44129
b0043,1286,44181,45466
b0044,287,45464,45750
b0045,1331,45808,47138
b0046,530,47247,47776
b0047,1862,47770,49631
b0048,479,49824,50302
b0049,842,50381,51222
b0050,377,51230,51606
b0051,821,51610,52430
b0052,989,52428,53416
b0053,1286,53417,54702
b0054,2354,54756,57109
b0055,815,57365,58179
b4659,805,58475,59279
b0058,659,59688,60346
b0059,2906,60359,63264
b0060,2351,63430,65780
b0061,695,65856,66550
b0062,1502,66836,68337
b0063,1700,68349,70048
b0064,878,70388,71265
b0065,764,71352,72115
b0066,698,72230,72927
b0067,1610,72912,74521
b0068,983,74498,75480
b0069,1655,75645,77299
b4577,226,77368,77593
b4662,131,77389,77519
b0070,1178,77622,78799
b0071,605,78849,79453
b0072,1400,79465,80864
b0073,1091,80868,81958
b0074,1571,81959,83529
b0075,86,83623,83708
b0076,944,84369,85312
b0077,1724,85631,87354
b0078,491,87358,87848
b0080,1004,88029,89032
b0081,458,89635,90092
b0082,941,90095,91035
b0083,365,91033,91397
b0084,1766,91414,93179
b0085,1487,93167,94653
b0086,1358,94651,96008
b0087,1082,96003,97084
b0088,1316,97088,98403
b0089,1244,98404,99647
b0090,1067,99645,100711
b0091,1475,100766,102240
b0092,920,102234,103153
b0093,830,103156,103985
b0094,1262,103983,105244
b0095,1151,105306,106456
b0096,917,106558,107474
b0097,512,107706,108217
b0098,2705,108280,110984
b0099,389,111045,111433
b0101,197,111650,111846
b0102,743,111857,112599
b0103,620,112600,113219
b0104,1043,113445,114487
b0106,1202,114523,115724
b0107,1385,115715,117099
b0108,440,117110,117549
b0109,893,117753,118645
b0110,551,118734,119284
b0111,854,119282,120135
b0112,1373,120179,121551
b0113,764,122093,122856
b0114,2663,123018,125680
b0115,1892,125696,127587
b0116,1424,127913,129336
b0117,1853,129408,131260
b0118,2597,131616,134212
b0119,362,134389,134750
b0120,794,134789,135582
b0121,866,135599,136464
b0122,347,136571,136917
b0123,1550,137084,138633
b0124,2390,138836,141225
b0125,536,141432,141967
b0126,662,142009,142670
b0127,926,142780,143705
b0128,770,143703,144472
b0129,440,144578,145017
b0130,1229,145082,146310
b0131,380,146315,146694
b0132,902,146969,147870
b0133,851,147945,148795
b0134,794,148808,149601
b0135,1238,149716,150953
b0136,596,151004,151599
b0137,605,151627,152231
b0138,569,152244,152812
b0139,2597,152830,155426
b0140,740,155462,156201
b0141,584,156300,156883
b0142,479,157254,157732
b0143,1397,157730,159126
b0144,926,159187,160112
b0145,455,160150,160604
b0146,704,160783,161486
b0147,530,161502,162031
b0148,2429,162106,164534
b0149,2534,164731,167264
b0150,2243,167485,169727
b0151,797,169779,170575
b0152,890,170576,171465
b0153,1982,171463,173444
b0154,1280,173603,174882
b0155,1421,175108,176528
b0156,344,176611,176954
b0157,623,177002,177624
b0158,800,177663,178462
b0159,698,178456,179153
b0160,1517,179238,180754
b0161,1424,180885,182308
b0162,1157,182464,183620
b0163,386,183710,184095
b0164,812,184258,185069
b0166,824,185124,185947
b0167,2672,185979,188650
b0168,794,188713,189506
b4414,135,189713,189847
b0169,725,189875,190599
b0170,851,190858,191708
b0171,725,191856,192580
b0172,557,192873,193429
b0173,1196,193522,194717
b0174,761,194904,195664
b0175,857,195678,196534
b0176,1352,196547,197898
b0177,2432,197929,200360
b0178,485,200483,200967
b0179,1025,200972,201996
b0180,455,202102,202556
b0181,788,202561,203348
b0182,1148,203349,204496
b0183,596,204494,205089
b0184,3482,205127,208608
b0185,959,208622,209580
b0186,2141,209680,211820
b0187,389,211878,212266
b0188,1298,212332,213629
b0189,254,213679,213932
b4406,200,213926,214125
b0190,545,214292,214836
b0191,422,214834,215255
b0192,710,215270,215979
b0193,824,216180,217003
b0194,1718,217058,218775
b0195,707,218888,219594
b0196,404,219592,219995
b0197,815,220114,220928
b0198,653,220969,221621
b0199,1031,221615,222645
b0200,575,222834,223408
b0201,1541,223772,225312
b0202,76,225382,225457
b0203,75,225501,225575
b0204,2903,225760,228662
b0205,119,228757,228875
b0206,76,228929,229004
b0207,803,229168,229970
b0208,914,229968,230881
b0209,800,231123,231922
b0210,623,231927,232549
b0211,1358,232598,233955
b0212,755,234028,234782
b0213,722,234817,235538
b0214,467,235536,236002
b0215,731,236068,236798
b0216,76,236932,237007
b0217,785,237336,238120
b4586,479,238258,238736
